api,variant,k,calls,ns_per_call,e2e_ns,hf_ns,used,t_api_ns,cost_proposed,cost_current,size_bytes,env_ns_min,env_ns_median,exec_ns_min,exec_ns_median,open_exec_ns_mean,exec_count,notes
state_foreign_set,"write, K=1 (first call, grant scan)",1,1,8791,,15637.5,HF,15637.5,4100,3400,0,514917,544938,31958,32521,30200.1,1,"HF (capped/one-shot)"
state_foreign_set,"write, K=200 (grant cached after 1st)",1,200,631.7,7045.977378,3263.69,HF,3263.69,860,3400,0,2.08062e+06,2.37404e+06,282500,296874,317112,1,"HF (ledger-write cost reported separately); E2E/HF ratio 2.158899"
emit,"K=200/exec, min Payment, own nonce+details+fee_base",1,200,7902.06,,8082.59,HF,8082.59,2200,8700,0,1.67491e+07,1.70867e+07,3.01067e+06,3.22427e+06,3.43834e+06,1,"HF (undecomposable body)"
etxn_details,"inside emit_min_k200's loop",1,200,398.77,,579.306,HF,579.306,160,470,0,1.69715e+07,1.73523e+07,3.13792e+06,3.21633e+06,3.39238e+06,1,"HF (undecomposable body)"
etxn_fee_base,"inside emit_min_k200's loop",1,200,3909.82,,4090.36,HF,4090.36,1100,4600,0,1.68938e+07,1.75286e+07,3.104e+06,3.25654e+06,3.30689e+06,1,"HF (undecomposable body)"
emit,"K=200/exec, 1KiB ttINVOKE+sfBlob",1,200,7501.44,,7681.98,HF,7681.98,2100,8700,1024,2.16855e+07,2.24133e+07,2.80671e+06,2.98627e+06,3.14153e+06,1,"HF (undecomposable body)"
hook_skip,"alternating scan/erase (2-hook chain)",1,300,106.25,408.035527,286.786,HF,286.786,76,170,0,811000,844041,232458,244354,259517,2,"HF (E2E noisy); E2E/HF ratio 1.422789"
xpop_slot,"K=100/exec, min over 2 rep(s) (ttIMPORT, one fixture per fresh Env)",1,100,34859.6,,35040.1,HF,35040.1,9200,37000,0,0,0,0,0,0,0,"HF (capped/one-shot): anti-replay caps reps to the number of distinct fixtures, no N1/N2 E2E"
util_keylet,"AMM (own Env, featureAMM added)",4,1201,236.283,521.483604,416.819,HF,416.819,110,230,0,1.28596e+06,1.45188e+06,761375,821979,908271,1,"HF (E2E noisy)"
util_keylet,"DID (own Env, featureDID added)",4,1200,210.693,527.732678,391.229,HF,391.229,110,230,0,1.23854e+06,1.30969e+06,736083,761792,759554,1,"HF (E2E noisy); E2E/HF ratio 1.348910"
etxn_reserve,"direct (1st call)",1,1,41,,221.536,HF,221.536,58,150,0,0,0,0,0,0,0,"HF (capped/one-shot): error path after 1st call is trivial (design review B)"
hook_again,"direct (1st call, strong pass)",1,1,62,,242.536,HF,242.536,64,260,0,0,0,0,0,0,0,"HF (capped/one-shot): error path after 1st call is trivial (design review B)"
accept,"direct",1,1,82.345,,262.881,HF,262.881,69,150,0,0,0,0,0,0,0,"HF (capped/one-shot)"
rollback,"direct",1,1,80.07,,260.606,HF,260.606,69,180,0,0,0,0,0,0,0,"HF (capped/one-shot)"
